"Latest: Time (s)","Latest: Potential (V)"
0,2.02442002442
2E-05,0.778998778999
4E-05,0.778998778999
6E-05,-0.37851037851
8E-05,-0.37851037851
0.0001,-1.41391941392
0.00012,-1.41391941392
0.00014,-2.29792429792
0.00016,-2.29792429792
0.00018,-3.02075702076
0.0002,-3.02075702076
0.00022,-3.55311355311
0.00024,-3.55311355311
0.00026,-3.91452991453
0.00028,-3.91452991453
0.0003,-4.09035409035
0.00032,-4.09035409035
0.00034,-4.08058608059
0.00036,-4.08058608059
0.00038,-3.91941391941
0.0004,-3.91941391941
0.00042,-3.62148962149
0.00044,-3.62148962149
0.00046,-3.20634920635
0.00048,-3.20634920635
0.0005,-2.70818070818
0.00052,-2.70818070818
0.00054,-2.14652014652
0.00056,-2.14652014652
0.00058,-1.55067155067
0.0006,-1.55067155067
0.00062,-0.949938949939
0.00064,-0.949938949939
0.00066,-0.363858363858
0.00068,-0.363858363858
0.0007,0.188034188034
0.00072,0.188034188034
0.00074,0.676434676435
0.00076,0.676434676435
0.00078,1.09645909646
0.0008,1.09645909646
0.00082,1.44322344322
0.00084,1.44322344322
0.00086,1.69719169719
0.00088,1.69719169719
0.0009,1.86813186813
0.00092,1.86813186813
0.00094,1.94627594628
0.00096,1.94627594628
0.00098,1.94627594628
0.001,1.94627594628
0.00102,1.86813186813
0.00104,1.86813186813
0.00106,1.71672771673
0.00108,1.71672771673
0.0011,1.52136752137
0.00112,1.52136752137
0.00114,1.28693528694
0.00116,1.28693528694
0.00118,1.01343101343
0.0012,1.01343101343
0.00122,0.730158730159
0.00124,0.730158730159
0.00126,0.446886446886
0.00128,0.446886446886
0.0013,0.168498168498
0.00132,0.168498168498
0.00134,-0.100122100122
0.00136,-0.100122100122
0.00138,-0.32967032967
0.0014,-0.32967032967
0.00142,-0.529914529915
0.00144,-0.529914529915
0.00146,-0.686202686203
0.00148,-0.686202686203
0.0015,-0.808302808303
0.00152,-0.808302808303
0.00154,-0.886446886447
0.00156,-0.886446886447
0.00158,-0.920634920635
0.0016,-0.920634920635
0.00162,-0.915750915751
0.00164,-0.915750915751
0.00166,-0.881562881563
0.00168,-0.881562881563
0.0017,-0.813186813187
0.00172,-0.813186813187
0.00174,-0.715506715507
0.00176,-0.715506715507
0.00178,-0.603174603175
0.0018,-0.603174603175
0.00182,-0.471306471306
0.00184,-0.471306471306
0.00186,-0.334554334554
0.00188,-0.334554334554
0.0019,-0.197802197802
0.00192,-0.197802197802
0.00194,-0.0708180708181
0.00196,-0.0708180708181
0.00198,0.0512820512821
